Customer ID,TotalSpent,TotalOrders,TotalQuantity,FirstPurchase,LastPurchase,CustomerLifetimeDays
12346,77556.46,12,74285,2009-12-14 08:34:00,2011-01-18 10:01:00,400
12347,4921.53,8,2967,2010-10-31 14:20:00,2011-12-07 15:52:00,402
12348,2019.3999999999999,5,2714,2010-09-27 14:59:00,2011-09-25 13:13:00,362
12349,4428.6900000000005,4,1624,2010-04-29 13:20:00,2011-11-21 09:51:00,570
12350,334.40000000000003,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,0
12351,300.93,1,261,2010-11-29 15:23:00,2010-11-29 15:23:00,0
12352,2849.84,10,724,2010-11-12 10:20:00,2011-11-03 14:37:00,356
12353,406.76,2,212,2010-10-27 12:44:00,2011-05-19 17:47:00,204
12354,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,0
12355,947.61,2,543,2010-05-21 11:59:00,2011-05-09 13:49:00,353
12356,6371.7300000000005,6,3416,2010-10-11 09:42:00,2011-11-17 08:40:00,401
12357,18287.66,3,6587,2010-11-16 10:05:00,2011-11-06 16:07:00,355
12358,3887.07,5,1079,2009-12-08 07:59:00,2011-12-08 10:26:00,730
12359,8873.39,10,2739,2009-12-05 13:32:00,2011-10-13 12:47:00,676
12360,4252.89,8,2459,2010-02-22 09:32:00,2011-10-18 15:22:00,603
12361,511.25,4,235,2010-01-26 14:37:00,2011-02-25 13:51:00,394
12362,5356.2300000000005,11,2230,2009-12-01 10:10:00,2011-12-06 15:40:00,735
12363,552.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,132
12364,1313.1,4,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,104
12365,641.38,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,0
12366,500.24,1,296,2010-03-16 10:28:00,2010-03-16 10:28:00,0
12367,168.9,1,173,2011-12-05 16:48:00,2011-12-05 16:48:00,0
12368,917.7,1,330,2010-03-21 15:56:00,2010-03-21 15:56:00,0
12369,1791.15,3,1241,2010-03-08 08:09:00,2010-10-22 13:13:00,228
12370,4316.56,7,2604,2010-02-09 09:41:00,2011-10-19 14:51:00,617
12371,4067.38,5,1436,2010-03-04 18:23:00,2011-10-26 10:16:00,600
12372,1298.04,3,794,2011-02-16 12:46:00,2011-09-29 12:12:00,224
12373,1127.65,3,516,2010-02-04 12:08:00,2011-02-01 13:10:00,362
12374,2989.2200000000003,4,1362,2010-04-30 14:01:00,2011-11-14 15:37:00,563
12375,457.5,2,178,2011-09-02 14:23:00,2011-11-29 10:36:00,87
12376,503.15,2,240,2010-10-18 08:42:00,2010-11-15 12:15:00,28
12377,3426.32,4,2105,2010-04-29 15:34:00,2011-01-28 15:45:00,274
12378,5416.32,2,3316,2010-05-26 14:07:00,2011-08-02 10:34:00,432
12379,1620.22,4,815,2010-06-23 12:49:00,2011-09-19 10:09:00,452
12380,9676.300000000001,11,3355,2010-02-15 12:05:00,2011-11-18 11:27:00,640
12381,1845.31,5,808,2011-08-12 09:57:00,2011-12-05 12:44:00,115
12383,1850.56,5,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,167
