StockCode,Description,TotalQuantitySold,Revenue,OrderCount
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1
M,Manual,9384,151777.67,620
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612
POST,POSTAGE,5235,124648.04,1803
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652
47566,PARTY BUNTING,23460,103283.38,2077
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.18000000001,1691
79321,CHILLI LIGHTS,14843,69084.3,922
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514
21137,BLACK RECORD COVER FRAME,18417,63092.12,539
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048
21621,VINTAGE UNION JACK BUNTING,6497,54432.62,1121
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,1449
23084,RABBIT NIGHT LIGHT,27153,51251.24,801
22470,HEART OF WICKER LARGE,17104,49859.5,1743
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,1631
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,1714
22189,CREAM HEART CARD HOLDER,15946,47414.200000000004,1129
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,1442
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.340000000004,1447
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,1680
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.270000000004,1233
21623,VINTAGE UNION JACK MEMOBOARD,6125,44785.83,499
21181,PLEASE ONE PERSON METAL SIGN,22379,44310.600000000006,1399
22386,JUMBO BAG PINK POLKADOT,23572,43319.16,1055
22469,HEART OF WICKER SMALL,26193,43316.54,1779
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,43313.9,1228
22138,BAKING SET 9 PIECE RETROSPOT ,9035,43070.91,1742
21843,RED RETROSPOT CAKE STAND,4298,42862.74,984
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,42463.200000000004,1457
21754,HOME BUILDING BLOCK WORD,7231,42453.11,1831
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,41824.26,1043
21175,GIN + TONIC DIET METAL SIGN,19755,40940.78,1385
22457,NATURAL SLATE HEART CHALKBOARD ,14187,40276.170000000006,1637
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14630,40219.82,1144
48138,DOORMAT UNION FLAG,6146,40053.72,874
82494L,WOODEN FRAME ANTIQUE WHITE ,14368,39909.170000000006,1773
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,1997
21915,RED  HARMONICA IN BOX ,35229,39870.65,884
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34,644
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,39682.67,1818
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2
21166,COOK WITH WINE METAL SIGN ,19652,37029.340000000004,1225
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,37011.1,1658
20728,LUNCH BAG CARS BLUE,23304,36644.28,1797
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1007,36259.65,234
22629,SPACEBOY LUNCH BOX ,20271,36150.99,1108
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648
23298,SPOTTY BUNTING,7633,35509.55,1003
85066,CREAM SWEETHEART MINI CHEST,2948,35264.729999999996,809
20713,JUMBO BAG OWLS,19463,35162.42,920
48194,DOORMAT HEARTS,5788,35069.4,857
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,34479.62,1298
22960,JAM MAKING SET WITH JARS,8454,33833.72,903
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12356,33670.240000000005,985
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,33298.3,1146
20726,LUNCH BAG WOODLAND,20916,33004.76,1585
22197,SMALL POPCORN HOLDER,42955,32505.93,1039
22699,ROSES REGENCY TEACUP AND SAUCER ,11939,32470.65,1056
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,1520
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,31876.47,956
20685,DOORMAT RED RETROSPOT,4806,31864.2,758
21755,LOVE BUILDING BLOCK WORD,5367,31590.41,1485
48187,DOORMAT NEW ENGLAND,5146,31461.34,728
22630,DOLLY GIRL LUNCH BOX,17340,30921.64,998
22727,ALARM CLOCK BAKELIKE RED ,8512,30703.09,1144
85152,HAND OVER THE CHOCOLATE   SIGN ,16146,30615.930000000004,1300
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,30363.75,1002
22382,LUNCH BAG SPACEBOY DESIGN ,18834,30131.7,1874
22385,JUMBO BAG SPACEBOY DESIGN,16383,29810.15,971
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95,572
48185,DOORMAT FAIRY CAKE,4760,29116.96,420
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,915
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,28581.4,810
20679,EDWARDIAN PARASOL RED,6029,28557.920000000002,622
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,28513.300000000003,787
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,27952.22,1053
22379,RECYCLING BAG RETROSPOT ,14259,27893.78,1013
22139,RETROSPOT TEA SET CERAMIC 11 PC ,5745,27595.33,1145
22865,HAND WARMER OWL DESIGN,13675,27514.63,1058
22188,BLACK HEART CARD HOLDER,10255,27324.45,487
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,27251.26,511
20725,LUNCH BAG RED SPOTTY,17456,27237.6,1059
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,27222.52,1277
22077,6 RIBBONS RUSTIC CHARM,16026,27031.04,1361
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,26847.1,721
22659,LUNCH BOX I LOVE LONDON,15156,26596.719999999998,763
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.280000000002,718
23199,JUMBO BAG APPLES,13875,26426.3,718
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.35,1578
22467,GUMBALL COAT RACK,11460,26149.13,928
22492,MINI PAINT SET VINTAGE ,41507,25900.19,618
72741,GRAND CHOCOLATECANDLE,19284,25895.4,823
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.92,1765
22752,SET 7 BABUSHKA NESTING BOXES,3273,25620.99,577
22726,ALARM CLOCK BAKELIKE GREEN,6713,24898.96,1041
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,24450.6,712
85099B,JUMBO BAG RED WHITE SPOTTY ,13879,24323.85,465
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.55,719
47566B,TEA TIME PARTY BUNTING,5612,24255.3,655
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29,1189
48138,DOOR MAT UNION FLAG,3733,24216.23,637
23201,JUMBO BAG ALPHABET,12533,24160.44,752
22624,IVORY KITCHEN SCALES,2916,24137.48,1065
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03,920
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20064,23812.52,1224
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,23784.8,465
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.510000000002,1100
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,23554.3,1003
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,23531.47,633
22697,GREEN REGENCY TEACUP AND SAUCER,8500,23507.24,933
22866,HAND WARMER SCOTTY DOG DESIGN,11667,23436.660000000003,939
22197,POPCORN HOLDER,30919,23417.51,632
84836,ZINC METAL HEART DECORATION,19328,23331.43,1244
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62,408
22551,PLASTERS IN TIN SPACEBOY,14623,23194.95,1156
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,23085.53,815
22507,MEMO BOARD RETROSPOT  DESIGN,5208,23083.44,737
22084,PAPER CHAIN KIT EMPIRE,8437,23049.95,704
23173,REGENCY TEAPOT ROSES ,2662,23033.52,354
82583,HOT BATHS METAL SIGN,11797,23010.120000000003,820
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,22805.99,815
21930,JUMBO STORAGE BAG SKULLS,12305,22795.28,997
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,22471.86,646
22961,JAM MAKING SET PRINTED,15867,22328.95,903
22867,HAND WARMER BIRD DESIGN,11000,22168.33,907
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.079999999998,385
82600,NO SINGING METAL SIGN,11194,22097.04,970
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,22079.739999999998,1087
22383,LUNCH BAG SUKI  DESIGN ,13896,22026.4,1073
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23,1160
21231,SWEETHEART CERAMIC TRINKET BOX,18488,21793.25,1171
21481,FAWN BLUE HOT WATER BOTTLE,7526,21779.5,834
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7709,21682.030000000002,1003
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.8,1348
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,21540.440000000002,789
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,21490.170000000002,599
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,21458.42,544
22835,HOT WATER BOTTLE I AM SO POORLY,4638,21398.28,815
22728,ALARM CLOCK BAKELIKE PINK,5833,21369.98,772
22087,PAPER BUNTING WHITE LACE,7752,21336.350000000002,663
84406B,CREAM CUPID HEARTS COAT HANGER,6682,21256.0,724
20749,ASSORTED COLOUR MINI CASES,2972,21169.64,726
22607,WOODEN ROUNDERS GARDEN SET ,2406,20978.47,643
22113,GREY HEART HOT WATER BOTTLE,5623,20977.78,913
22556,PLASTERS IN TIN CIRCUS PARADE ,13112,20950.16,1100
22090,PAPER BUNTING RETROSPOT,7632,20933.24,658
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,772
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5724,20838.9,758
22605,WOODEN CROQUET GARDEN SET,1710,20813.809999999998,548
22090,PAPER BUNTING RETRO SPOTS,7595,20723.25,607
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,621
21314,SMALL GLASS HEART TRINKET POT,10447,20588.260000000002,711
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5366,20506.300000000003,654
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,20471.68,1097
22698,PINK REGENCY TEACUP AND SAUCER,7408,20329.640000000003,746
48184,DOORMAT ENGLISH ROSE ,3158,20298.8,464
20711,JUMBO BAG TOYS ,11326,20283.78,671
22969,HOMEMADE JAM SCENTED CANDLES,14012,20204.8,577
37449,CERAMIC CAKE STAND + HANGING CAKES,2277,20204.579999999998,410
21790,VINTAGE SNAP CARDS,25120,19957.34,1480
22585,PACK OF 6 BIRDY GIFT TAGS,16784,19950.85,950
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4304,19921.27,692
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25389,19821.96,1141
22083,PAPER CHAIN KIT RETRO SPOT,7351,19804.550000000003,490
22617,BAKING SET SPACEBOY DESIGN,4165,19719.21,883
22294,HEART FILIGREE DOVE  SMALL,16260,19686.6,707
22941,CHRISTMAS LIGHTS 10 REINDEER,2487,19590.9,406
22273,FELTCRAFT DOLL MOLLY,7203,19332.93,701
22570,FELTCRAFT CUSHION RABBIT,5420,19282.55,677
21524,DOORMAT SPOTTY HOME SWEET HOME,2671,19215.5,636
48188,DOORMAT WELCOME PUPPIES,3345,19178.670000000002,368
22625,RED KITCHEN SCALES,2360,19149.63,781
21791,VINTAGE HEADS AND TAILS CARD GAME ,16199,19147.65,1050
22568,FELTCRAFT CUSHION OWL,5312,19128.13,771
22569,FELTCRAFT CUSHION BUTTERFLY,5357,18865.21,679
22413,METAL SIGN TAKE IT OR LEAVE IT ,6814,18863.02,766
85150,LADIES & GENTLEMEN METAL SIGN,8078,18847.98,889
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17242,18798.98,281
22501,PICNIC BASKET WICKER LARGE,2055,18794.25,497
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2525,18618.75,432
21622,VINTAGE UNION JACK CUSHION COVER,3517,18495.47,550
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13410,18411.74,1017
21213,PACK OF 72 SKULL CAKE CASES,38530,18319.18,1156
22499,WOODEN UNION JACK BUNTING,3165,18251.280000000002,632
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,866
22384,LUNCH BAG PINK POLKADOT,11392,18207.2,1101
21908,CHOCOLATE THIS WAY METAL SIGN,9396,18041.24,801
84949,SILVER HANGING T-LIGHT HOLDER,11635,18001.35,612
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1702,17888.71,383
22561,WOODEN SCHOOL COLOURING SET,11158,17861.22,838
21174,POTTERING IN THE SHED METAL SIGN,9247,17814.51,855
22555,PLASTERS IN TIN STRONGMAN,11048,17664.44,856
22456,NATURAL SLATE CHALKBOARD LARGE ,4016,17637.16,595
23344,JUMBO BAG 50'S CHRISTMAS ,8933,17636.04,586
22427,ENAMEL FLOWER JUG CREAM,3039,17471.23,702
21936,RED RETROSPOT PICNIC BAG,6292,17462.96,701
22061,LARGE CAKE STAND  HANGING STRAWBERY,2086,17354.85,443
22147,FELTCRAFT BUTTERFLY HEARTS,12605,17238.05,1026
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15028,17162.93,559
21479,WHITE SKULL HOT WATER BOTTLE ,4538,16917.32,738
21136,PAINTED METAL PEARS ASSORTED,10255,16907.51,714
22633,HAND WARMER UNION JACK,8364,16857.36,790
22560,TRADITIONAL MODELLING CLAY,14393,16851.64,655
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21125,16833.35,585
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,454
